Keyword,Exact user intent,Monthly search volume if available,Search Console impressions,Search Console clicks,CTR,Average position,Current ranking CruiseKit page,Best target CruiseKit page,Existing or new page?,Priority score,Recommended title tag,Recommended meta description,Recommended H1,Recommended H2/FAQ additions,Recommended CTA,Internal links to add,Content action,Tracking notes,Evidence source,Evidence strength,Authenticated decision,Tracking/source caveat
is drink package worth it on royal caribbean,Wants Royal Caribbean drink-package break-even decision.,590,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/royal-caribbean,Existing,83,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Is drink package worth it on royal caribbean?,Check my drink-package break-even point,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D;E,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 590/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
is royal caribbean drink package worth it,Wants Royal Caribbean drink-package break-even decision.,590,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/royal-caribbean,Existing,83,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Is royal caribbean drink package worth it?,Check my drink-package break-even point,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D;E,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 590/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
princess wifi cost,Wants Princess WiFi pricing.,720,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/princess,Existing,83,Princess Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Princess cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Princess Cruise Cost Calculator,Add H2/FAQ: Princess wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 720/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
cost of royal caribbean cruise,Wants Royal Caribbean cost estimate.,Unavailable,2,0,0%,19,/calculator/royal-caribbean,/calculator/royal-caribbean,Existing,82,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Cost of royal caribbean cruise?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 2 impressions / pos 19; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
cruise calculator,Wants a cruise planning or cost calculator; current clicks show discovery but page intent is ambiguous.,Unavailable,9,2,22.22%,12.22,All pages query export; homepage page-filter also ranks at 8 impressions / pos 8.38,/calculator,Existing,82,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add FAQ using exact query wording: cruise calculator,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",A;B;C;D;E,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 4 impressions / pos 10.75; GSC exact; homepage currently ranks; map primary target to calculator to avoid cannibalization,Medium,Map for review before implementation,No reported Keyword Planner volume
how much cash should i bring on a cruise,Wants practical cash amount for a cruise.,590,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/port-day-tips,Existing,82,"Cruise Port Spending Guide: Cash, Tips & Excursion Budgets","Plan cash, tips, excursions, taxis, food, and port-day spending before your cruise.",Port Day Spending Guide,Add H2/FAQ: How much cash should i bring on a cruise?,Add port spending to my cruise budget,"Calculator hub, first-time guide, port pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 590/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
how much is a royal caribbean cruise,Wants Royal Caribbean average cost.,Unavailable,4,0,0%,20.75,/calculator/royal-caribbean,/calculator/royal-caribbean,Existing,82,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add FAQ using exact query wording: how much is a royal caribbean cruise,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 4 impressions / pos 20.75; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
"what is the best way to estimate the true total cruise cost including taxes, port fees, and daily gratuities?",Wants a method/tool to estimate true out-the-door cruise cost.,Unavailable,2,0,0%,8.5,All pages query export,/calculator,Existing,82,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,"Add H2/FAQ: What is the best way to estimate the true total cruise cost including taxes, port fees, and daily gratuities?",Calculate my cruise gratuities,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;D;E,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",GSC 2 impressions / pos 8.5; GSC exact FAQ query,Medium,Map for review before implementation,No reported Keyword Planner volume
carnival drink package calculator,Wants Carnival CHEERS/package calculator.,390,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/carnival-cheers-drink-package-worth-it,Existing,81,Carnival CHEERS Drink Package: Is It Worth It?,"Calculate whether Carnival CHEERS is worth it after drink prices, daily package cost, and service charges.",carnival drink package calculator,Add H2/FAQ: Carnival drink package calculator?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",A;B;C;D;E,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 390/mo; Keyword Planner related idea; Google Trends related query,Strong,Map for review before implementation,No exact GSC match yet
cruise drink package calculator,Wants a calculator to decide if a drink package is worth it.,260,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/drink-package-guide,Existing,81,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add H2/FAQ: Cruise drink package calculator?,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",A;B;C;D;E,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 260/mo; Keyword Planner seed; SERP shows calculator competition,Strong,Map for review before implementation,No exact GSC match yet
ncl wifi cost,Wants NCL WiFi cost.,260,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/norwegian,Existing,81,Norwegian Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Norwegian cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Norwegian Cruise Cost Calculator,Add H2/FAQ: Ncl wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 260/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
norwegian cruise wifi cost,Wants Norwegian WiFi cost.,260,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/norwegian,Existing,81,Norwegian Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Norwegian cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Norwegian Cruise Cost Calculator,Add H2/FAQ: Norwegian cruise wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 260/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
celebrity cruise wifi cost,Wants Celebrity cruise WiFi pricing.,320,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/celebrity,Existing,80,Celebrity Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Celebrity cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Celebrity Cruise Cost Calculator,Add H2/FAQ: Celebrity cruise wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 320/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
cruise gratuity calculator,Wants to calculate automatic gratuities.,10,2,0,0%,61.5,/,/guides/cruise-tipping-guide,Existing,80,Cruise Gratuity Calculator + Tipping Guide,"Calculate cruise gratuities by line, cabin, guests, and trip length, then see how tips affect your total cruise budget.",Cruise Tipping Guide,Add H2/FAQ: Cruise gratuity calculator?,Calculate my cruise gratuities,"Calculator hub, line calculator pages, hidden-cost blog, FAQ",A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 2 impressions / pos 61.5; Keyword Planner 10/mo; Keyword Planner seed; SERP calculator competition,Medium,Map for review before implementation,Ready for review; do not implement until approved
cruise ship wifi cost,Wants ship WiFi price ranges.,320,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator,Existing,80,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add H2/FAQ: Cruise ship wifi cost?,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 320/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
cruise wifi cost,Wants cruise WiFi price ranges and line differences.,320,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator,Existing,80,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add H2/FAQ: Cruise wifi cost?,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 320/mo; Keyword Planner seed; Google Trends comparison,Strong,Map for review before implementation,No exact GSC match yet
how much cash to bring on cruise,"Wants cash amount for port spending, tips, and taxis.",480,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/port-day-tips,Existing,80,"Cruise Port Spending Guide: Cash, Tips & Excursion Budgets","Plan cash, tips, excursions, taxis, food, and port-day spending before your cruise.",Port Day Spending Guide,Add H2/FAQ: How much cash to bring on cruise?,Add port spending to my cruise budget,"Calculator hub, first-time guide, port pages, hidden-cost blog",A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 480/mo; Keyword Planner seed; SERP forum-heavy,Strong,Map for review before implementation,No exact GSC match yet
msc cruise cost,Wants MSC cruise price or total-cost estimate.,720,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/msc-cruise-cost,Existing,80,How Much Does a MSC Cruise Really Cost?,"Plan your cruise budget with realistic costs, add-ons, and calculator handoffs.",msc cruise cost,Add H2/FAQ: Msc cruise cost?,Calculate my real cruise cost,Calculator hub and related guide pages,A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 720/mo; Keyword Planner seed,Strong,Map for review before implementation,No exact GSC match yet
msc drink package cost,Wants MSC drink package pricing.,480,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/msc,Existing,80,MSC Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a MSC cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",MSC Cruise Cost Calculator,Add H2/FAQ: Msc drink package cost?,Check my drink-package break-even point,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 480/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
royal caribbean gratuities per day,Wants daily gratuity amount for Royal Caribbean.,320,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/royal-caribbean,Existing,80,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Royal caribbean gratuities per day?,Calculate my cruise gratuities,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 320/mo; Keyword Planner seed,Strong,Map for review before implementation,No exact GSC match yet
wifi cost on cruise,Wants cruise WiFi cost in general.,320,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator,Existing,80,"Free Cruise Cost Calculator: Estimate Fare, Fees, Drinks, WiFi & Excursions","Estimate the real total cost of a cruise with fare, taxes, gratuities, drinks, WiFi, excursions, port spending, insurance, and onboard extras.",Cruise Cost Calculator,Add H2/FAQ: Wifi cost on cruise?,Calculate my real cruise cost,"Homepage, cost hub, real-cost blog, hidden-cost blog, FAQ, line calculators",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 320/mo; Keyword Planner related idea,Strong,Map for review before implementation,No exact GSC match yet
holland america wifi cost,Wants Holland America WiFi pricing.,210,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/holland-america,Existing,79,Holland America Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Holland America cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Holland America Cruise Cost Calculator,Add H2/FAQ: Holland america wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 210/mo; Keyword Planner related idea,Medium,Map for review before implementation,No exact GSC match yet
how much cash should you bring on a cruise,Wants practical cash amount for a cruise.,320,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/port-day-tips,Existing,79,"Cruise Port Spending Guide: Cash, Tips & Excursion Budgets","Plan cash, tips, excursions, taxis, food, and port-day spending before your cruise.",Port Day Spending Guide,Add H2/FAQ: How much cash should you bring on a cruise?,Add port spending to my cruise budget,"Calculator hub, first-time guide, port pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 320/mo; Keyword Planner related idea; GSC variant,Strong,Map for review before implementation,No exact GSC match yet
msc cruise wifi cost,Wants MSC WiFi price.,210,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/msc,Existing,79,MSC Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a MSC cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",MSC Cruise Cost Calculator,Add H2/FAQ: Msc cruise wifi cost?,Calculate this cruise line total,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 210/mo; Keyword Planner related idea,Medium,Map for review before implementation,No exact GSC match yet
royal caribbean drink package worth it,Wants to decide if Royal Caribbean drink package pays off.,140,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/royal-caribbean,Existing,79,Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Royal Caribbean cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Royal Caribbean Cruise Cost Calculator,Add H2/FAQ: Royal caribbean drink package worth it?,Check my drink-package break-even point,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",A;B;C;D;E,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 140/mo; Keyword Planner seed; Google Trends Royal Caribbean drink package,Medium,Map for review before implementation,No exact GSC match yet
cruise drink calculator,Wants drink package or bar-spend calculator.,140,1,0,0%,71,/guides/drink-package-guide,/guides/drink-package-guide,Existing,78,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add FAQ using exact query wording: cruise drink calculator,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",B;C;D;E,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 1 impressions / pos 71; Keyword Planner 140/mo; GSC exact; Keyword Planner related idea,Medium,Map for review before implementation,Ready for review; do not implement until approved
cruise drinks calculator,Wants drink package or bar-spend calculator.,140,1,0,0%,76,/guides/drink-package-guide,/guides/drink-package-guide,Existing,78,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add FAQ using exact query wording: cruise drinks calculator,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",B;C;D;E,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 1 impressions / pos 76; Keyword Planner 140/mo; GSC exact; Keyword Planner related idea,Medium,Map for review before implementation,Ready for review; do not implement until approved
disney cruise gratuity calculator,Wants Disney gratuity calculator.,210,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/calculator/disney,Existing,78,Disney Cruise Cost Calculator: Estimate Your Real Total,"Estimate the real total cost of a Disney cruise with gratuities, drink packages, WiFi, excursions, port fees, and common add-ons.",Disney Cruise Cost Calculator,Add H2/FAQ: Disney cruise gratuity calculator?,Calculate my cruise gratuities,"Calculator hub, matching line cost blog, drink guide, tipping guide, WiFi/cost FAQs",B;C;D,"Track calculator_started, calculator_completed, result_shared, save_trip_clicked, app_store_click, google_play_click.",Keyword Planner 210/mo; Keyword Planner related idea,Medium,Map for review before implementation,No exact GSC match yet
how much are drinks on a cruise ship,Wants individual drink price ranges to compare against packages.,Unavailable,2,0,0%,56,/guides/drink-package-guide,/guides/drink-package-guide,Existing,77,Cruise Drink Package Calculator: Is It Worth It?,"See whether a cruise drink package is worth it with break-even math, service charges, drink counts, and full-trip cost context.",Is the Drink Package Worth It?,Add FAQ using exact query wording: how much are drinks on a cruise ship,Check my drink-package break-even point,"Calculator hub, Royal/Carnival/Norwegian/MSC calculator pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 2 impressions / pos 56; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
