Opportunity set,Query,Page,Clicks,Impressions,CTR,Average position,Country,Device,Export window,Opportunity reason,Best target page,Recommended action,Priority
Page-filter validation: Ranking position 8-30,cruise calculator,/,2,8,25%,8.38,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,82
Ranking position 8-30,cruise+calculator,All pages query export,0,4,0%,10.75,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 4 impressions, 0 clicks, position 10.75.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,82
Ranking position 8-30,how much is a royal caribbean cruise,All pages query export,0,4,0%,20.75,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 4 impressions, 0 clicks, position 20.75.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,82
Page-filter validation: Ranking position 8-30,how much is a royal caribbean cruise,/calculator/royal-caribbean,0,4,0%,20.75,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,82
Page-filter validation: Ranking position 8-30,cruise+calculator,/,0,4,0%,10.75,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,82
Ranking position 8-30,"what is the best way to estimate the true total cruise cost including 
taxes, port fees, and daily gratuities?",All pages query export,0,2,0%,8.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 8.5.",/calculator,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,82
Ranking position 8-30,calculator+cruise,All pages query export,0,2,0%,9.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 9.5.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,82
Ranking position 8-30,cost of royal caribbean cruise,All pages query export,0,2,0%,19,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 19.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,82
Page-filter validation: Ranking position 8-30,cost of royal caribbean cruise,/calculator/royal-caribbean,0,2,0%,19,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,82
Page-filter validation: Ranking position 8-30,calculator+cruise,/,0,2,0%,9.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,82
Ranking position 8-30,how much is royal caribbean cruise,All pages query export,0,1,0%,21,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 21.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,82
Page-filter validation: Small content improvement,"what is the best way to estimate the true total cruise cost including 
taxes, port fees, and daily gratuities?",/calculator,0,1,0%,6,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,82
Page-filter validation: Ranking position 30-70,cruise calculator,/calculator,0,1,0%,43,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,82
Page-filter validation: Ranking position 8-30,how much is royal caribbean cruise,/calculator/royal-caribbean,0,1,0%,21,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,82
Page-filter validation: Ranking position 8-30,"what is the best way to estimate the true total cruise cost including 
taxes, port fees, and daily gratuities?",/,0,1,0%,11,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,82
Ranking position 30-70,cruise gratuity calculator,All pages query export,0,2,0%,61.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 61.5.",/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,80
Page-filter validation: Small content improvement,cruise gratuity calculator,/calculator,0,1,0%,84,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,80
Page-filter validation: Small content improvement,cruise gratuity calculator,/,0,1,0%,77,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,80
High impressions / weak CTR,cruise price comparison tool,All pages query export,0,12,0%,42.75,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 12 impressions, 0 clicks, position 42.75.",/compare,H. Defer from SEO cost sprint; comparison intent is separate from real-cost calculator intent,35
Page-filter validation: High impressions / weak CTR,cruise price comparison tool,/,0,12,0%,42.75,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/compare,H. Defer from SEO cost sprint; comparison intent is separate from real-cost calculator intent,35
Small content improvement,cruise drink calculator,All pages query export,0,1,0%,71,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 71.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,78
Small content improvement,cruise drinks calculator,All pages query export,0,1,0%,76,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 76.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,78
Page-filter validation: Review,cruise price comparison tool,/calculator,0,1,0%,73,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/compare,H. Defer from SEO cost sprint; comparison intent is separate from real-cost calculator intent,35
Page-filter validation: Small content improvement,cruise drink calculator,/guides/drink-package-guide,0,1,0%,71,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,78
Page-filter validation: Small content improvement,cruise drinks calculator,/guides/drink-package-guide,0,1,0%,76,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,78
Ranking position 30-70,drink packages,All pages query export,0,4,0%,44.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 4 impressions, 0 clicks, position 44.5.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,drink package,All pages query export,0,4,0%,49.25,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 4 impressions, 0 clicks, position 49.25.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,drink packages,/guides/drink-package-guide,0,4,0%,44.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,drink package,/guides/drink-package-guide,0,4,0%,49.25,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,how much is a cruise drink package,All pages query export,0,3,0%,60,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 3 impressions, 0 clicks, position 60.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,how much is a cruise drink package,/guides/drink-package-guide,0,3,0%,60,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,drinks package,All pages query export,0,2,0%,54.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 54.5.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,how much are drinks on a cruise ship,All pages query export,0,2,0%,56,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 56.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,how much is a drink package on a cruise,All pages query export,0,2,0%,59.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 59.5.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,drinks package,/guides/drink-package-guide,0,2,0%,54.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,how much are drinks on a cruise ship,/guides/drink-package-guide,0,2,0%,56,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,how much is a drink package on a cruise,/guides/drink-package-guide,0,2,0%,59.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,alcoholic drink package,All pages query export,0,1,0%,39,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 39.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,beverage packages,All pages query export,0,1,0%,40,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 40.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,food and beverage package,All pages query export,0,1,0%,43,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 43.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,beverage package,All pages query export,0,1,0%,49,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 49.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,how much are cruise drink packages,All pages query export,0,1,0%,54,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 54.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,which cruise line has the cheapest drink package,All pages query export,0,1,0%,58,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 58.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,cruise line costs,All pages query export,0,1,0%,59,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 59.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,77
Ranking position 30-70,how much is a drink on a cruise ship,All pages query export,0,1,0%,61,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 61.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,how much is the drink package on a cruise,All pages query export,0,1,0%,61,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 61.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Ranking position 30-70,how much are drink packages on cruises,All pages query export,0,1,0%,67,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 67.",/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,alcoholic drink package,/guides/drink-package-guide,0,1,0%,39,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,beverage packages,/guides/drink-package-guide,0,1,0%,40,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,food and beverage package,/guides/drink-package-guide,0,1,0%,43,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,beverage package,/guides/drink-package-guide,0,1,0%,49,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,how much are cruise drink packages,/guides/drink-package-guide,0,1,0%,54,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,which cruise line has the cheapest drink package,/guides/drink-package-guide,0,1,0%,58,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,how much is a drink on a cruise ship,/guides/drink-package-guide,0,1,0%,61,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,how much is the drink package on a cruise,/guides/drink-package-guide,0,1,0%,61,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,how much are drink packages on cruises,/guides/drink-package-guide,0,1,0%,67,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /guides/drink-package-guide; use it to verify target-page fit and cannibalization.,/guides/drink-package-guide,B. Add FAQ/H2 section; D. Improve calculator CTA; E. Create shareable calculator result,77
Page-filter validation: Ranking position 30-70,cruise line costs,/,0,1,0%,59,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,77
Ranking position 30-70,cruise tip calculator,All pages query export,0,4,0%,70,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 4 impressions, 0 clicks, position 70.",/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,76
Ranking position 30-70,cruise gratuities calculator,All pages query export,0,3,0%,58.67,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 3 impressions, 0 clicks, position 58.67.",/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,76
Ranking position 30-70,cruise ship tour price,All pages query export,0,3,0%,64,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 3 impressions, 0 clicks, position 64.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Ranking position 30-70,cruise ship tour price,/,0,3,0%,64,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Small content improvement,cruise tip calculator,/,0,3,0%,73.33,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,76
Ranking position 30-70,average royal caribbean cruise cost,All pages query export,0,2,0%,32,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 32.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Ranking position 30-70,royal caribbean cruise cost,All pages query export,0,2,0%,42,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 42.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Ranking position 30-70,how much is a cruise ship worth,All pages query export,0,2,0%,53,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 53.",/calculator,Review manually,76
Ranking position 30-70,how to monitor cruise prices,All pages query export,0,2,0%,61,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 61.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Page-filter validation: Ranking position 30-70,cruise gratuities calculator,/calculator,0,2,0%,68,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,76
Page-filter validation: Ranking position 30-70,average royal caribbean cruise cost,/calculator/royal-caribbean,0,2,0%,32,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Page-filter validation: Ranking position 30-70,royal caribbean cruise cost,/calculator/royal-caribbean,0,2,0%,42,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator/royal-caribbean; use it to verify target-page fit and cannibalization.,/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Page-filter validation: Ranking position 30-70,cruise gratuities calculator,/cruise-costs,0,2,0%,65.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,76
Page-filter validation: Ranking position 30-70,how much is a cruise ship worth,/,0,2,0%,53,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,76
Page-filter validation: Ranking position 30-70,cruise gratuities calculator,/,0,2,0%,55.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/guides/cruise-tipping-guide,B. Add FAQ/H2 section; C. Add internal links; D. Improve calculator CTA,76
Ranking position 30-70,royal caribbean cruise fare,All pages query export,0,1,0%,34,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 34.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Ranking position 30-70,royal caribbean cost,All pages query export,0,1,0%,38,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 38.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Ranking position 30-70,how much are royal caribbean cruises,All pages query export,0,1,0%,46,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 46.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Ranking position 30-70,royal caribbean vs disney cruise,All pages query export,0,1,0%,47,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 47.",/calculator/royal-caribbean,B. Add line-specific FAQ/H2 section; C. Add internal links,76
Ranking position 30-70,track cruise prices,All pages query export,0,1,0%,51,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 51.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Ranking position 30-70,cruise ship tour cost,All pages query export,0,1,0%,56,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 56.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
Ranking position 30-70,cruise cost,All pages query export,0,1,0%,57,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 57.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,76
