Keyword,Exact user intent,Monthly search volume if available,Search Console impressions,Search Console clicks,CTR,Average position,Current ranking CruiseKit page,Best target CruiseKit page,Existing or new page?,Priority score,Recommended title tag,Recommended meta description,Recommended H1,Recommended H2/FAQ additions,Recommended CTA,Internal links to add,Content action,Tracking notes
"is the drink package worth it on royal caribbean","Wants Royal Caribbean drink package advice","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator/royal-caribbean","Existing",84,"Is the Royal Caribbean Drink Package Worth It?","Use Royal Caribbean drink package pricing, gratuity, and your drink habits to estimate the break-even point.","Is the Royal Caribbean Drink Package Worth It?","FAQ on Deluxe, Refreshment, Soda break-even","Run Royal Caribbean estimate","Drink guide, Royal cost post","B;C;D","Track CTA"
"carnival cruise drink package calculator","Wants Carnival CHEERS break-even calculator","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/carnival-cheers-drink-package-worth-it","Existing now; possible calculator section later",86,"Carnival Drink Package Calculator: Is CHEERS Worth It?","Estimate whether Carnival CHEERS is worth it after the daily price, service charge, and your expected drinks.","Carnival Drink Package Calculator","Add calculator CTA and break-even table near top","Check my Carnival drink math","Calculator/carnival, drink guide","A;B;C;D","Track blog_cta_click"
"carnival drink package worth it","Wants Carnival CHEERS yes/no advice","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/carnival-cheers-drink-package-worth-it","Existing",84,"Carnival Drink Package: Is CHEERS Worth It?","See when Carnival CHEERS is worth it, how many drinks you need, and how service charges change the math.","Is Carnival CHEERS Worth It?","Add FAQ: How many drinks to break even?","Calculate your Carnival cruise cost","Calculator/carnival, drink guide","B;C;D","Track blog_cta_click"
"cruise wifi cost","Wants WiFi/internet cost before booking","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator","Existing",82,"Cruise WiFi Cost: Estimate Internet in Your Cruise Budget","Estimate cruise WiFi cost by cruise line and include internet in your real cruise budget before booking.","Cruise WiFi Cost","Add H2/FAQ to calculator SEO copy: How much does cruise WiFi cost?","Add WiFi to my cruise estimate","Cost hub, line calculators","B;D","Track calculator option usage if available"
"cruise internet cost","Wants internet package pricing","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator","Existing",76,"Cruise Internet Cost: WiFi Prices to Budget","Plan cruise internet costs with WiFi package estimates by line and trip length.","Cruise Internet Cost","Add as FAQ synonym under WiFi","Estimate WiFi in my budget","Line calculators","B;C","Track calculator starts"
"how much cash to bring on cruise","Wants cash/tip/port spending guidance","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/port-day-tips","Existing",83,"How Much Cash to Bring on a Cruise: Port Spending & Tips","Plan how much cash to bring for tips, port days, taxis, markets, and small purchases on a cruise.","How Much Cash Should You Bring on a Cruise?","Add FAQ: cash for tips; cash for ports; line-specific notes","Estimate port spending","Calculator, tipping guide, first-time guide","A;B;C","Track guide CTA"
"how much cash to bring on cruise for tips","Wants tip-specific cash guidance","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-tipping-guide","Existing",78,"How Much Cash to Bring for Cruise Tips","See when cash tips make sense on a cruise and how auto-gratuities affect what you should bring.","How Much Cash to Bring for Cruise Tips","Add FAQ to tipping guide","Add tips to my cruise budget","Port-day guide, calculator","B;C","Track CTA"
"how much spending money for a cruise","Wants spending-money budget","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator","Existing",86,"How Much Spending Money for a Cruise? Budget Calculator","Estimate cruise spending money for port days, tips, drinks, WiFi, excursions, shopping, and onboard extras.","How Much Spending Money for a Cruise?","Add H2 with spending categories and calculator handoff","Build my cruise budget","Port-day guide, first-time guide","B;D","Track calculator starts"
"average cost of cruise excursions","Wants excursion budget benchmark","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/port-day-tips","Existing",78,"Average Cost of Cruise Excursions: What to Budget","See how much cruise excursions cost on average and how to budget port days before booking.","Average Cost of Cruise Excursions","Add excursion cost section with per-port planning ranges","Add excursions to my estimate","Calculator, ports hub","B;C","Track guide CTA"
"how much are cruise excursions","Wants shore excursion cost information","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/port-day-tips","Existing",77,"How Much Are Cruise Excursions? Port-Day Budget Guide","Plan shore excursion costs and port-day spending before your cruise.","How Much Are Cruise Excursions?","Add FAQ to port-day guide","Estimate excursion budget","Calculator, port pages","B;C","Track port_page_affiliate_click separately"
"cruise taxes and fees","Wants explanation of taxes/port fees","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/hidden-cruise-costs","Existing",78,"Cruise Taxes and Fees: What Is Added to the Fare?","Understand cruise taxes, port fees, gratuities, and other charges that can change your final cruise total.","Cruise Taxes and Fees","Add H2 explaining taxes vs port fees vs gratuities","Calculate full cruise cost","Calculator, FAQ","B;C","Track blog_cta_click"
"cruise taxes and port fees","Wants port fee explanation","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/hidden-cruise-costs","Existing",76,"Cruise Taxes and Port Fees: What to Budget","See how taxes and port fees affect your cruise price and what other costs to include.","Cruise Taxes and Port Fees","Add FAQ: Are port fees included in advertised cruise prices?","Check my total","Calculator","B;C","None"
"ncl free at sea cost","Wants real cost of NCL Free at Sea","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/norwegian-free-at-sea-explained","Existing",88,"NCL Free at Sea Cost: What Is Actually Free?","See what Norwegian Free at Sea really costs after gratuities, upgrades, WiFi, dining, and excursion credits.","NCL Free at Sea Cost","Add H2: Free at Sea fees and gratuities; FAQ: Is it really free?","Calculate my NCL cruise cost","Calculator/norwegian, Norwegian cost post","A;B;C;D","Track blog_cta_click"
"is ncl free at sea really free","Wants truth about NCL promo","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/norwegian-free-at-sea-explained","Existing",86,"Is NCL Free at Sea Really Free? Cost Breakdown","Norwegian Free at Sea can still add gratuities and upgrade costs. See what to budget before booking.","Is NCL Free at Sea Really Free?","Add FAQ using exact wording","Estimate your NCL total","Calculator/norwegian","B;C;D","Track blog_cta_click"
"ncl free at sea plus cost","Wants Free at Sea Plus upgrade price","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/norwegian-free-at-sea-explained","Existing",80,"NCL Free at Sea Plus Cost: Upgrade Math","Compare NCL Free at Sea and Free at Sea Plus costs before deciding whether the upgrade is worth it.","NCL Free at Sea Plus Cost","Add upgrade table and calculator CTA","Calculate NCL upgrade impact","Calculator/norwegian","B;C;D","Track CTA"
"royal caribbean cruise cost calculator","Wants Royal Caribbean-specific total calculator","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator/royal-caribbean","Existing",92,"Royal Caribbean Cruise Cost Calculator: Estimate Your Real Total","Estimate a Royal Caribbean cruise total with fare, gratuities, drink packages, WiFi, excursions, and hidden costs.","Royal Caribbean Cruise Cost Calculator","Add FAQ: How much is a 7-day Royal Caribbean cruise?; How much spending money?","Calculate my Royal Caribbean cost","Calculator hub, Royal cost blog, comparison posts","A;B;C;D","Track line-specific starts"
"how much does a 7 day royal caribbean cruise cost","Wants Royal 7-night benchmark","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/royal-caribbean-cruise-cost","Existing",84,"How Much Does a 7-Day Royal Caribbean Cruise Cost?","Estimate the real cost of a 7-day Royal Caribbean cruise after fare, gratuities, drinks, WiFi, and excursions.","How Much Does a Royal Caribbean Cruise Cost?","Add 7-day example section","Run Royal Caribbean calculator","Calculator/royal-caribbean","B;C;D","Track CTA"
"royal caribbean gratuities per day","Wants Royal daily gratuity amount","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-tipping-guide","Existing",80,"Royal Caribbean Gratuities Per Day: What to Budget","See Royal Caribbean gratuities per day and how tips affect your total cruise cost.","Royal Caribbean Gratuities Per Day","Add Royal row/FAQ to tipping guide","Estimate gratuities","Calculator/royal-caribbean","B;C","Track CTA"
"how much spending money for royal caribbean cruise","Wants Royal-specific spending budget","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator/royal-caribbean","Existing",82,"Royal Caribbean Spending Money Calculator","Estimate Royal Caribbean spending money for drinks, WiFi, excursions, gratuities, and onboard extras.","How Much Spending Money for a Royal Caribbean Cruise?","Add FAQ to line calculator page","Estimate Royal Caribbean total","Royal cost blog, port-day guide","B;D","Track line calculator starts"
"carnival cruise cost calculator","Wants Carnival-specific total calculator","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator/carnival","Existing",91,"Carnival Cruise Cost Calculator: Estimate Your Real Total","Estimate a Carnival cruise total with fare, gratuities, CHEERS, WiFi, excursions, and hidden costs.","Carnival Cruise Cost Calculator","Add FAQ: How much is a 5-day Carnival cruise?; Does Carnival include meals?","Calculate my Carnival cost","Carnival cost blog, CHEERS post, calculator hub","A;B;C;D","Track line-specific starts"
"carnival cruise extra costs","Wants Carnival hidden add-ons","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/carnival-cruise-cost","Existing",82,"Carnival Cruise Extra Costs: What to Budget","See Carnival cruise extra costs like gratuities, CHEERS, WiFi, specialty dining, excursions, and port spending.","Carnival Cruise Extra Costs","Add H2 to Carnival cost page","Run Carnival calculator","Calculator/carnival, hidden costs","B;C;D","Track CTA"
"how much is a 5 day carnival cruise","Wants Carnival trip-length benchmark","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/carnival-cruise-cost","Existing",78,"How Much Is a 5-Day Carnival Cruise?","Estimate a 5-day Carnival cruise after fare, taxes, gratuities, CHEERS, WiFi, excursions, and port spending.","How Much Is a 5-Day Carnival Cruise?","Add 5-day example section","Estimate my Carnival cruise","Calculator/carnival","B;C;D","Track CTA"
"norwegian cruise cost calculator","Wants Norwegian-specific total calculator","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator/norwegian","Existing",84,"Norwegian Cruise Cost Calculator: Estimate Your Real Total","Estimate a Norwegian cruise total with fare, Free at Sea charges, gratuities, WiFi, dining, excursions, and hidden costs.","Norwegian Cruise Cost Calculator","Add Free at Sea cost FAQ","Calculate my Norwegian cost","NCL Free at Sea post, Norwegian cost post","A;B;C;D","Track line-specific starts"
"disney cruise cost calculator","Wants Disney-specific total calculator","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator/disney","Existing",87,"Disney Cruise Cost Calculator: Estimate a Family Cruise Budget","Estimate a Disney cruise total with fare, gratuities, excursions, WiFi, travel insurance, and family spending.","Disney Cruise Cost Calculator","Add family-of-4 example FAQ","Calculate my Disney cruise cost","Disney cost blog, family comparison blog","A;B;C;D","Track line-specific starts"
"disney cruise budget","Wants Disney cruise budget guidance","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/disney-cruise-cost","Existing",82,"Disney Cruise Budget: What a Family Should Expect","Build a Disney cruise budget with fare, gratuities, excursions, WiFi, insurance, and port spending.","Disney Cruise Budget","Add H2: Disney cruise budget for a family","Run Disney cruise calculator","Calculator/disney","B;C;D","Track CTA"
"msc cruise cost","Wants MSC total cost/price info","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/msc-cruise-cost","Existing",80,"MSC Cruise Cost: Real Total After Fees & Extras","See what an MSC cruise really costs after fare, gratuities, drinks, WiFi, excursions, and port spending.","MSC Cruise Cost","Add FAQ for cost per person and drink package cost","Run MSC calculator","Calculator/msc, hidden costs","A;B;C;D","Track CTA"
"msc cruise cost per person","Wants MSC per-person benchmark","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/msc-cruise-cost","Existing",76,"MSC Cruise Cost Per Person: Fare + Extras","Estimate MSC cruise cost per person after gratuities, drinks, WiFi, excursions, and other add-ons.","MSC Cruise Cost Per Person","Add per-person example","Estimate MSC total","Calculator/msc","B;C;D","Track CTA"
"msc cruise cost of drink package","Wants MSC drink package cost","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/calculator/msc","Existing",74,"MSC Drink Package Cost: Add It to Your Cruise Budget","Estimate MSC drink package cost and compare it with your full cruise budget.","MSC Drink Package Cost","Add FAQ to MSC calculator page","Calculate MSC drink costs","Drink guide, MSC cost blog","B;C;D","Track line calculator starts"
"royal caribbean vs carnival cost","Wants comparison after add-ons","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/royal-caribbean-vs-carnival-cost-comparison","Existing",84,"Royal Caribbean vs Carnival Cost: Which Is Cheaper After Extras?","Compare Royal Caribbean and Carnival after gratuities, drink packages, WiFi, excursions, and onboard extras.","Royal Caribbean vs Carnival Cost","Add calculator CTA above comparison table","Compare my cruise cost","Calculator, compare page, line calculators","A;B;C;D","Track comparison CTA"
"carnival vs royal caribbean cost","Same comparison with reversed phrasing","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/royal-caribbean-vs-carnival-cost-comparison","Existing",82,"Carnival vs Royal Caribbean Cost: Real Total Comparison","Compare Carnival and Royal Caribbean total cruise costs after fare, tips, drinks, WiFi, excursions, and extras.","Carnival vs Royal Caribbean Cost","Use as H2/synonym in same page","Compare Carnival and Royal Caribbean","Calculator, compare page","B;C;D","Avoid creating duplicate page"
"first cruise budget","First-time cruiser budgeting from scratch","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/first-time-cruise-guide","Existing",78,"First Cruise Budget: What to Plan Before You Book","Plan your first cruise budget with fare, gratuities, drinks, WiFi, excursions, port spending, and insurance.","First Cruise Budget","Add H2/FAQ to first-time guide","Build my first cruise budget","Calculator, hidden costs, tipping guide","B;C;D","Track CTA"
"what costs are not included on a cruise","Wants excluded cost list","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/blog/hidden-cruise-costs","Existing",82,"What Costs Are Not Included on a Cruise?","See which cruise costs are usually not included in the advertised fare and how to budget for them.","What Costs Are Not Included on a Cruise?","Add exact FAQ to hidden-costs post and FAQ page","Calculate excluded costs","Calculator, FAQ, cost hub","B;C;D","Track blog_cta_click"
"are cruise gratuities mandatory","Wants policy and budgeting answer","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-tipping-guide","Existing",75,"Are Cruise Gratuities Mandatory? Tipping Guide","Learn when cruise gratuities are automatic, adjustable, prepaid, or paid in cash, and how they affect your total.","Are Cruise Gratuities Mandatory?","Add FAQ to tipping guide","Estimate gratuities","Calculator","B;C","None"
"should i prepay gratuities on a cruise","Wants prepay vs onboard decision","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-tipping-guide","Existing",74,"Should You Prepay Cruise Gratuities?","Compare prepaid cruise gratuities with paying onboard and see how tips affect your total budget.","Should You Prepay Cruise Gratuities?","Add FAQ to tipping guide","Estimate my total with tips","Calculator","B;C","None"
"cruise port spending","Wants money needed in port","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/port-day-tips","Existing",76,"Cruise Port Spending: What to Budget for Each Stop","Plan cruise port spending for taxis, beach clubs, food, souvenirs, tips, and excursions.","Cruise Port Spending","Add H2: Port spending by trip style","Add port spending to my budget","Calculator, ports hub","B;C;D","Track port_page_affiliate_click separately"
"cruise insurance cost","Wants insurance cost range","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-insurance-explained","Existing",72,"Cruise Insurance Cost: What to Budget Before Booking","See how cruise insurance costs fit into your total trip budget and when medical evacuation coverage matters.","Cruise Insurance Cost","Add cost-focused H2","Add insurance to my estimate","Calculator, hidden costs","B;C;D","Track affiliate click separately if applicable"
"cruise insurance worth it","Wants insurance decision support","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable","Unknown without GSC","/guides/cruise-insurance-explained","Existing",70,"Is Cruise Insurance Worth It? Cost and Coverage Guide","Decide whether cruise insurance is worth it based on trip cost, medical risk, evacuation coverage, and cancellation exposure.","Is Cruise Insurance Worth It?","Add FAQ and calculator CTA","Add insurance to my cruise budget","Calculator","B;C;D","Track outbound_affiliate_click"
